sku,upc,upc_source,missing_upc,url,title
"3105-0101-0015","841298130273","meta:gtin","false","https://www.gobilda.com/1x15a-motor-controller-9-14v-input","1x15A Motor Controller (9-14V Input)"
"3624-4008-0032","841298139603","meta:gtin","false","https://www.gobilda.com/3624-series-omni-wheel-8mm-rex-bore-32mm-diameter-50a-durometer","3624 Series Omni Wheel (8mm REX® Bore, 32mm Diameter, 50A Durometer)"
"2800-0004-0012","","","true","https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-12mm-length-250-pack","M4 x 0.7mm Zinc-Plated Socket Head Screw (12mm Length)"
"3504-0804-2109","841298128881","meta:gtin","false","https://www.gobilda.com/3504-series-lead-screw-clamping-collar-8mm-lead-4-start-21mm-od-9mm-length","3504 Series Lead Screw Clamping Collar (8mm Lead, 4 Start, 21mm OD, 9mm Length)"
"2411-0014-0008","841298140593","meta:gtin","false","https://www.gobilda.com/24mm-pitch-acetal-track-drive-8-tooth-2-pack","24mm Pitch, Acetal Track Sprocket (8 Tooth) - 2 Pack"
"","","","true","https://www.gobilda.com/rd-2026-2027-preseason-ftc-starterbot-built-from-ftc-kit","FTC StarterBot Resource Guide (2026-2027 Preseason)"
"","","","true","https://www.gobilda.com/rd-classic-clamping-hubs-1","Classic Clamping Hubs"
"2202-0102-0103","","","true","https://www.gobilda.com/gobilda-classic-t-shirt-heather-grey-adult-s","goBILDA® Classic T-Shirt (Adult Sizes)"
"1516-4008-0880","841298131492","meta:gtin","false","https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-88mm-length-4-pack","1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 88mm Length) - 4 Pack"
"1301-0016-0014","841298116741","meta:gtin","false","https://www.gobilda.com/1301-series-clamping-hub-14mm-bore","1301 Series Clamping Hub (14mm Bore)"
"","","","true","https://www.gobilda.com/rd-gear-racks-1","Gear Racks"
"3118-0102-0002","841298139870","meta:gtin","false","https://www.gobilda.com/led-headlight-400-lumens-5-30v-input","LED Headlight (400 Lumens, 5-30V Input)"
"1622-0032-0012","841298136206","meta:gtin","false","https://www.gobilda.com/12mm-bore-heavy-duty-flange-mount-bearing-pillow-block","12mm Bore, Heavy-Duty Flange-Mount Bearing Pillow Block"
"","","","true","https://www.gobilda.com/rd-1604-series-2-side-2-post-pillow-blocks","1604 Series 2-Side, 2-Post Pillow Blocks"
